year,age_group,state,donations
2008,30-34,Melaka,1328
2008,30-34,Negeri Sembilan,741
2008,30-34,Pahang,130
2008,30-34,Perak,1483
2008,30-34,Pulau Pinang,0
2008,30-34,Sabah,1257
2008,30-34,Sarawak,1487
2008,30-34,Selangor,1338
2008,30-34,Terengganu,243
2008,30-34,W.P. Kuala Lumpur,8986
2008,35-39,Johor,626
2008,35-39,Kedah,2120
2008,35-39,Kelantan,412
2008,35-39,Malaysia,16753
2008,35-39,Melaka,1088
2008,35-39,Negeri Sembilan,579
2008,35-39,Pahang,97
2008,35-39,Perak,1505
2008,35-39,Pulau Pinang,0
2008,35-39,Sabah,1090
2008,35-39,Sarawak,1401
2008,35-39,Selangor,1031
2008,35-39,Terengganu,204
2008,35-39,W.P. Kuala Lumpur,6600
2008,40-44,Johor,464
2008,40-44,Kedah,1837
2008,40-44,Kelantan,350
2008,40-44,Malaysia,12810
2008,40-44,Melaka,717
2008,40-44,Negeri Sembilan,443
2008,40-44,Pahang,64
2008,40-44,Perak,1369
2008,40-44,Pulau Pinang,0
2008,40-44,Sabah,809
2008,40-44,Sarawak,1131
2008,40-44,Selangor,801
2008,40-44,Terengganu,137
2008,40-44,W.P. Kuala Lumpur,4688
2008,45-49,Johor,307
2008,45-49,Kedah,1498
2008,45-49,Kelantan,249
2008,45-49,Malaysia,9063
2008,45-49,Melaka,571
2008,45-49,Negeri Sembilan,276
2008,45-49,Pahang,60
2008,45-49,Perak,1053
2008,45-49,Pulau Pinang,0
2008,45-49,Sabah,587
2008,45-49,Sarawak,847
2008,45-49,Selangor,473
2008,45-49,Terengganu,79
2008,45-49,W.P. Kuala Lumpur,3063
2008,50-54,Johor,137
2008,50-54,Kedah,760
2008,50-54,Kelantan,129
2008,50-54,Malaysia,4895
2008,50-54,Melaka,304
2008,50-54,Negeri Sembilan,169
2008,50-54,Pahang,31
2008,50-54,Perak,629
2008,50-54,Pulau Pinang,0
2008,50-54,Sabah,339
2008,50-54,Sarawak,479
2008,50-54,Selangor,233
2008,50-54,Terengganu,53
2008,50-54,W.P. Kuala Lumpur,1632
2008,55-59,Johor,53
2008,55-59,Kedah,292
2008,55-59,Kelantan,43
2008,55-59,Malaysia,1809
2008,55-59,Melaka,133
2008,55-59,Negeri Sembilan,63
2008,55-59,Pahang,15
2008,55-59,Perak,242
2008,55-59,Pulau Pinang,0
2008,55-59,Sabah,125
2008,55-59,Sarawak,174
2008,55-59,Selangor,72
2008,55-59,Terengganu,18
2008,55-59,W.P. Kuala Lumpur,579
2008,60-64,Johor,4
2008,60-64,Kedah,21
2008,60-64,Kelantan,6
2008,60-64,Malaysia,151
2008,60-64,Melaka,13
2008,60-64,Negeri Sembilan,2
2008,60-64,Pahang,0
2008,60-64,Perak,32
2008,60-64,Pulau Pinang,0
2008,60-64,Sabah,14
2008,60-64,Sarawak,5
2008,60-64,Selangor,12
2008,60-64,Terengganu,1
2008,60-64,W.P. Kuala Lumpur,41
2009,17-24,Johor,4697
2009,17-24,Kedah,10069
2009,17-24,Kelantan,4749
2009,17-24,Malaysia,86568
2009,17-24,Melaka,7039
2009,17-24,Negeri Sembilan,3218
2009,17-24,Pahang,1125
2009,17-24,Perak,7779
2009,17-24,Pulau Pinang,0
2009,17-24,Sabah,4414
2009,17-24,Sarawak,1953
2009,17-24,Selangor,4188
2009,17-24,Terengganu,4739
2009,17-24,W.P. Kuala Lumpur,32598
2009,25-29,Johor,2927
2009,25-29,Kedah,2412
2009,25-29,Kelantan,621
2009,25-29,Malaysia,29740
2009,25-29,Melaka,1827
2009,25-29,Negeri Sembilan,877
2009,25-29,Pahang,215
2009,25-29,Perak,1674
2009,25-29,Pulau Pinang,0
2009,25-29,Sabah,1759
2009,25-29,Sarawak,965
2009,25-29,Selangor,1812
2009,25-29,Terengganu,666
2009,25-29,W.P. Kuala Lumpur,13985
2009,30-34,Johor,2504
2009,30-34,Kedah,1768
2009,30-34,Kelantan,370
2009,30-34,Malaysia,20437
2009,30-34,Melaka,1185
2009,30-34,Negeri Sembilan,574
2009,30-34,Pahang,145
2009,30-34,Perak,1296
2009,30-34,Pulau Pinang,0
2009,30-34,Sabah,1151
2009,30-34,Sarawak,888
2009,30-34,Selangor,1463
2009,30-34,Terengganu,339
2009,30-34,W.P. Kuala Lumpur,8754
2009,35-39,Johor,2128
2009,35-39,Kedah,1529
2009,35-39,Kelantan,337
2009,35-39,Malaysia,15799
2009,35-39,Melaka,866
2009,35-39,Negeri Sembilan,499
2009,35-39,Pahang,117
2009,35-39,Perak,1099
2009,35-39,Pulau Pinang,0
2009,35-39,Sabah,799
2009,35-39,Sarawak,813
2009,35-39,Selangor,1143
2009,35-39,Terengganu,236
2009,35-39,W.P. Kuala Lumpur,6233
2009,40-44,Johor,1644
2009,40-44,Kedah,1346
2009,40-44,Kelantan,303
2009,40-44,Malaysia,11950
2009,40-44,Melaka,717
2009,40-44,Negeri Sembilan,299
2009,40-44,Pahang,74
2009,40-44,Perak,1013
2009,40-44,Pulau Pinang,0
2009,40-44,Sabah,601
2009,40-44,Sarawak,605
2009,40-44,Selangor,963
2009,40-44,Terengganu,211
2009,40-44,W.P. Kuala Lumpur,4174
2009,45-49,Johor,1202
2009,45-49,Kedah,995
2009,45-49,Kelantan,265
2009,45-49,Malaysia,8504
2009,45-49,Melaka,491
2009,45-49,Negeri Sembilan,191
2009,45-49,Pahang,54
2009,45-49,Perak,731
2009,45-49,Pulau Pinang,0
2009,45-49,Sabah,489
2009,45-49,Sarawak,435
2009,45-49,Selangor,635
2009,45-49,Terengganu,154
2009,45-49,W.P. Kuala Lumpur,2862
2009,50-54,Johor,564
2009,50-54,Kedah,510
2009,50-54,Kelantan,121
2009,50-54,Malaysia,4546
2009,50-54,Melaka,290
2009,50-54,Negeri Sembilan,99
2009,50-54,Pahang,20
2009,50-54,Perak,419
2009,50-54,Pulau Pinang,0
2009,50-54,Sabah,262
2009,50-54,Sarawak,278
2009,50-54,Selangor,314
2009,50-54,Terengganu,72
2009,50-54,W.P. Kuala Lumpur,1597
2009,55-59,Johor,177
2009,55-59,Kedah,203
2009,55-59,Kelantan,47
