year,month,age_group,state,donations
2006,4,40-44,Kelantan,33
2006,4,40-44,Malaysia,852
2006,4,40-44,Melaka,162
2006,4,40-44,Negeri Sembilan,0
2006,4,40-44,Pahang,19
2006,4,40-44,Perak,0
2006,4,40-44,Pulau Pinang,0
2006,4,40-44,Sabah,14
2006,4,40-44,Sarawak,0
2006,4,40-44,Selangor,9
2006,4,40-44,Terengganu,23
2006,4,40-44,W.P. Kuala Lumpur,550
2006,4,45-49,Johor,19
2006,4,45-49,Kedah,4
2006,4,45-49,Kelantan,16
2006,4,45-49,Malaysia,589
2006,4,45-49,Melaka,141
2006,4,45-49,Negeri Sembilan,0
2006,4,45-49,Pahang,19
2006,4,45-49,Perak,0
2006,4,45-49,Pulau Pinang,0
2006,4,45-49,Sabah,6
2006,4,45-49,Sarawak,0
2006,4,45-49,Selangor,5
2006,4,45-49,Terengganu,11
2006,4,45-49,W.P. Kuala Lumpur,368
2006,4,50-54,Johor,11
2006,4,50-54,Kedah,1
2006,4,50-54,Kelantan,13
2006,4,50-54,Malaysia,302
2006,4,50-54,Melaka,77
2006,4,50-54,Negeri Sembilan,0
2006,4,50-54,Pahang,13
2006,4,50-54,Perak,0
2006,4,50-54,Pulau Pinang,0
2006,4,50-54,Sabah,3
2006,4,50-54,Sarawak,0
2006,4,50-54,Selangor,2
2006,4,50-54,Terengganu,7
2006,4,50-54,W.P. Kuala Lumpur,175
2006,4,55-59,Johor,5
2006,4,55-59,Kedah,3
2006,4,55-59,Kelantan,6
2006,4,55-59,Malaysia,116
2006,4,55-59,Melaka,33
2006,4,55-59,Negeri Sembilan,0
2006,4,55-59,Pahang,2
2006,4,55-59,Perak,0
2006,4,55-59,Pulau Pinang,0
2006,4,55-59,Sabah,1
2006,4,55-59,Sarawak,0
2006,4,55-59,Selangor,0
2006,4,55-59,Terengganu,3
2006,4,55-59,W.P. Kuala Lumpur,63
2006,4,60-64,Johor,0
2006,4,60-64,Kedah,0
2006,4,60-64,Kelantan,2
2006,4,60-64,Malaysia,7
2006,4,60-64,Melaka,1
2006,4,60-64,Negeri Sembilan,0
2006,4,60-64,Pahang,0
2006,4,60-64,Perak,0
2006,4,60-64,Pulau Pinang,0
2006,4,60-64,Sabah,0
2006,4,60-64,Sarawak,0
2006,4,60-64,Selangor,0
2006,4,60-64,Terengganu,0
2006,4,60-64,W.P. Kuala Lumpur,4
2006,5,17-24,Johor,176
2006,5,17-24,Kedah,18
2006,5,17-24,Kelantan,330
2006,5,17-24,Malaysia,5253
2006,5,17-24,Melaka,63
2006,5,17-24,Negeri Sembilan,0
2006,5,17-24,Pahang,57
2006,5,17-24,Perak,1
2006,5,17-24,Pulau Pinang,0
2006,5,17-24,Sabah,121
2006,5,17-24,Sarawak,0
2006,5,17-24,Selangor,8
2006,5,17-24,Terengganu,696
2006,5,17-24,W.P. Kuala Lumpur,3783
2006,5,25-29,Johor,100
2006,5,25-29,Kedah,5
2006,5,25-29,Kelantan,60
2006,5,25-29,Malaysia,2069
2006,5,25-29,Melaka,17
2006,5,25-29,Negeri Sembilan,0
2006,5,25-29,Pahang,24
2006,5,25-29,Perak,0
2006,5,25-29,Pulau Pinang,0
2006,5,25-29,Sabah,43
2006,5,25-29,Sarawak,0
2006,5,25-29,Selangor,5
2006,5,25-29,Terengganu,88
2006,5,25-29,W.P. Kuala Lumpur,1727
2006,5,30-34,Johor,80
2006,5,30-34,Kedah,5
2006,5,30-34,Kelantan,44
2006,5,30-34,Malaysia,1681
2006,5,30-34,Melaka,15
2006,5,30-34,Negeri Sembilan,0
2006,5,30-34,Pahang,18
2006,5,30-34,Perak,0
2006,5,30-34,Pulau Pinang,0
2006,5,30-34,Sabah,46
2006,5,30-34,Sarawak,1
2006,5,30-34,Selangor,6
2006,5,30-34,Terengganu,68
2006,5,30-34,W.P. Kuala Lumpur,1398
2006,5,35-39,Johor,53
2006,5,35-39,Kedah,5
2006,5,35-39,Kelantan,40
2006,5,35-39,Malaysia,1372
2006,5,35-39,Melaka,11
2006,5,35-39,Negeri Sembilan,0
2006,5,35-39,Pahang,24
2006,5,35-39,Perak,0
2006,5,35-39,Pulau Pinang,0
2006,5,35-39,Sabah,50
2006,5,35-39,Sarawak,0
2006,5,35-39,Selangor,2
2006,5,35-39,Terengganu,54
2006,5,35-39,W.P. Kuala Lumpur,1133
2006,5,40-44,Johor,59
2006,5,40-44,Kedah,4
2006,5,40-44,Kelantan,33
2006,5,40-44,Malaysia,1193
2006,5,40-44,Melaka,9
2006,5,40-44,Negeri Sembilan,0
2006,5,40-44,Pahang,25
2006,5,40-44,Perak,0
2006,5,40-44,Pulau Pinang,0
2006,5,40-44,Sabah,36
2006,5,40-44,Sarawak,1
2006,5,40-44,Selangor,8
2006,5,40-44,Terengganu,34
2006,5,40-44,W.P. Kuala Lumpur,984
2006,5,45-49,Johor,38
2006,5,45-49,Kedah,2
2006,5,45-49,Kelantan,37
2006,5,45-49,Malaysia,875
2006,5,45-49,Melaka,2
2006,5,45-49,Negeri Sembilan,0
2006,5,45-49,Pahang,23
2006,5,45-49,Perak,0
2006,5,45-49,Pulau Pinang,0
2006,5,45-49,Sabah,27
2006,5,45-49,Sarawak,0
2006,5,45-49,Selangor,2
2006,5,45-49,Terengganu,32
2006,5,45-49,W.P. Kuala Lumpur,712
2006,5,50-54,Johor,30
2006,5,50-54,Kedah,4
2006,5,50-54,Kelantan,15
2006,5,50-54,Malaysia,493
2006,5,50-54,Melaka,1
2006,5,50-54,Negeri Sembilan,0
2006,5,50-54,Pahang,12
2006,5,50-54,Perak,0
2006,5,50-54,Pulau Pinang,0
2006,5,50-54,Sabah,17
2006,5,50-54,Sarawak,0
2006,5,50-54,Selangor,0
2006,5,50-54,Terengganu,9
2006,5,50-54,W.P. Kuala Lumpur,405
2006,5,55-59,Johor,10
2006,5,55-59,Kedah,1
2006,5,55-59,Kelantan,5
2006,5,55-59,Malaysia,179
2006,5,55-59,Melaka,1
2006,5,55-59,Negeri Sembilan,0
2006,5,55-59,Pahang,6
2006,5,55-59,Perak,0
2006,5,55-59,Pulau Pinang,0
2006,5,55-59,Sabah,5
2006,5,55-59,Sarawak,0
2006,5,55-59,Selangor,1
2006,5,55-59,Terengganu,4
2006,5,55-59,W.P. Kuala Lumpur,146
2006,5,60-64,Johor,0
2006,5,60-64,Kedah,0
2006,5,60-64,Kelantan,0
2006,5,60-64,Malaysia,9
2006,5,60-64,Melaka,0
2006,5,60-64,Negeri Sembilan,0
2006,5,60-64,Pahang,0
2006,5,60-64,Perak,0
2006,5,60-64,Pulau Pinang,0
2006,5,60-64,Sabah,0
2006,5,60-64,Sarawak,0
2006,5,60-64,Selangor,0
2006,5,60-64,Terengganu,0
2006,5,60-64,W.P. Kuala Lumpur,9
2006,6,17-24,Johor,93
2006,6,17-24,Kedah,8
2006,6,17-24,Kelantan,258
2006,6,17-24,Malaysia,3684
2006,6,17-24,Melaka,14
2006,6,17-24,Negeri Sembilan,0
2006,6,17-24,Pahang,61
2006,6,17-24,Perak,1
2006,6,17-24,Pulau Pinang,0
2006,6,17-24,Sabah,86
2006,6,17-24,Sarawak,1
2006,6,17-24,Selangor,5
2006,6,17-24,Terengganu,650
2006,6,17-24,W.P. Kuala Lumpur,2507
2006,6,25-29,Johor,69
2006,6,25-29,Kedah,6
2006,6,25-29,Kelantan,34
2006,6,25-29,Malaysia,1695
2006,6,25-29,Melaka,3
2006,6,25-29,Negeri Sembilan,0
2006,6,25-29,Pahang,29
2006,6,25-29,Perak,1
2006,6,25-29,Pulau Pinang,0
2006,6,25-29,Sabah,97
2006,6,25-29,Sarawak,1
2006,6,25-29,Selangor,9
2006,6,25-29,Terengganu,58
2006,6,25-29,W.P. Kuala Lumpur,1388
2006,6,30-34,Johor,35
2006,6,30-34,Kedah,4
2006,6,30-34,Kelantan,28
2006,6,30-34,Malaysia,1108
2006,6,30-34,Melaka,3
2006,6,30-34,Negeri Sembilan,0
2006,6,30-34,Pahang,10
2006,6,30-34,Perak,0
2006,6,30-34,Pulau Pinang,0
2006,6,30-34,Sabah,85
2006,6,30-34,Sarawak,1
2006,6,30-34,Selangor,3
2006,6,30-34,Terengganu,54
2006,6,30-34,W.P. Kuala Lumpur,885
2006,6,35-39,Johor,36
2006,6,35-39,Kedah,3
2006,6,35-39,Kelantan,29
2006,6,35-39,Malaysia,951
2006,6,35-39,Melaka,4
2006,6,35-39,Negeri Sembilan,0
2006,6,35-39,Pahang,29
2006,6,35-39,Perak,0
2006,6,35-39,Pulau Pinang,0
2006,6,35-39,Sabah,89
2006,6,35-39,Sarawak,0
2006,6,35-39,Selangor,3
2006,6,35-39,Terengganu,49
2006,6,35-39,W.P. Kuala Lumpur,709
2006,6,40-44,Johor,39
2006,6,40-44,Kedah,2
2006,6,40-44,Kelantan,25
2006,6,40-44,Malaysia,699
2006,6,40-44,Melaka,2
2006,6,40-44,Negeri Sembilan,0
2006,6,40-44,Pahang,22
2006,6,40-44,Perak,0
2006,6,40-44,Pulau Pinang,0
2006,6,40-44,Sabah,71
2006,6,40-44,Sarawak,0
2006,6,40-44,Selangor,4
2006,6,40-44,Terengganu,47
2006,6,40-44,W.P. Kuala Lumpur,487
2006,6,45-49,Johor,30
2006,6,45-49,Kedah,3
2006,6,45-49,Kelantan,16
2006,6,45-49,Malaysia,489
2006,6,45-49,Melaka,2
2006,6,45-49,Negeri Sembilan,0
2006,6,45-49,Pahang,15
2006,6,45-49,Perak,0
2006,6,45-49,Pulau Pinang,0
2006,6,45-49,Sabah,50
2006,6,45-49,Sarawak,0
2006,6,45-49,Selangor,2
2006,6,45-49,Terengganu,26
2006,6,45-49,W.P. Kuala Lumpur,345
2006,6,50-54,Johor,8
2006,6,50-54,Kedah,1
2006,6,50-54,Kelantan,12
2006,6,50-54,Malaysia,221
2006,6,50-54,Melaka,0
2006,6,50-54,Negeri Sembilan,0
2006,6,50-54,Pahang,6
2006,6,50-54,Perak,0
2006,6,50-54,Pulau Pinang,0
2006,6,50-54,Sabah,39
2006,6,50-54,Sarawak,0
2006,6,50-54,Selangor,3
2006,6,50-54,Terengganu,14
2006,6,50-54,W.P. Kuala Lumpur,138
2006,6,55-59,Johor,5
2006,6,55-59,Kedah,1
2006,6,55-59,Kelantan,10
2006,6,55-59,Malaysia,73
2006,6,55-59,Melaka,0
2006,6,55-59,Negeri Sembilan,0
2006,6,55-59,Pahang,4
2006,6,55-59,Perak,0
2006,6,55-59,Pulau Pinang,0
2006,6,55-59,Sabah,10
2006,6,55-59,Sarawak,0
2006,6,55-59,Selangor,0
2006,6,55-59,Terengganu,2
2006,6,55-59,W.P. Kuala Lumpur,41
2006,6,60-64,Johor,1
2006,6,60-64,Kedah,0
2006,6,60-64,Kelantan,0
2006,6,60-64,Malaysia,5
2006,6,60-64,Melaka,0
2006,6,60-64,Negeri Sembilan,0
2006,6,60-64,Pahang,0
2006,6,60-64,Perak,0
2006,6,60-64,Pulau Pinang,0
2006,6,60-64,Sabah,0
2006,6,60-64,Sarawak,0
